text	label
Cleaner Air Could Speed Global Warming|Hugh Pickens writes \Scientists estimate that the US Clean Air Act has cut .. [link]	Yes
"Person #1:""Snow, then 65 degrees on the same day? Weather doesn't even surprise me anymore."" Person #2:""That's why global warming will win."""	Yes
RT @Newsweek: Global Warming Kills Forests In Colorado [link]	Yes
RT @jerryjamesstone: Alaska Before the Effects of Global Warming [pics]: [link]	Yes
RealDocWatson on global warming: Go to Antarctica and stake a claim now! It will be like Florida in a few years!	Yes
How much trouble does global warming mean for agriculture? Just ask the wine industry. [link]	Yes
Arctic Beauty in Black and White: Alaska Before the Effects of Global Warming [Slide Show] [link]	Yes
Climate Change: From Paris to the Alps, European Places in Peril (photos) [link]	Yes
M Report: Cleaner Air Could Actually Intensify Global Warming: As much of the world marked Earth Day this past week, the Environmental...	Yes
RT @Newsweek: Global Warming Kills Forests In Colorado [link]	Yes
Global warming is a threat, after all|Tim Blair rounds up the latest news from the wild frontiers of global .. [link]	Yes
Kuna Indians Prepare For Relocation As Traditional Homes Sink Due To Climate Change [link]	Yes
"How Global Warming Is Killing California's Wine Buzz: Dr. Kimberley Cahill presented on ""Climate Change in Califor... [link]"	Yes
GLOBAL WARMING: Ocean chemistry is changing faster than it has in 800,000 years|And that's because of the carbon .. [link]	Yes
GLOBAL WARMING: Ocean chemistry is changing faster than it has in 800,000 years|And that's because of the carbon .. [link]	Yes
Good going douche. I'm sure there is no climate change in your backass world - Graham move imperils Obama agenda - [link]	Yes
Ski resorts fight global warming|SALT LAKE CITY (AP) ? Ski resorts across the U.S. are using this Thanksgiving .. [link]	Yes
Ski resorts fight global warming|SALT LAKE CITY (AP) ? Ski resorts across the U.S. are using this Thanksgiving .. [link]	Yes
Bats, Birds and Lizards Can Fight Climate Change By Eating Insects: Birds, bats and lizards may play an important... [link]	Yes
RT @indiaenvportal: Make IT green: cloud computing and its contribution to climate change  [link]	Yes
RT @HeidiAmes: Climate change favors invasive species over indigenous ones. 30% of plants Thoreau saw are now extinct. [link]	Yes
scary RT @ClimateProject Climate change altering U.S. seasons: Spring 10 days early: [link]	Yes
RT @Newsweek: Global Warming Kills Forests In Colorado [link]	Yes
MediaGlobal report on special Tipping Point Earth Day event: Science and art mobilize to fight climate change [link]	Yes
Global Warming Kills Forests In Colorado [link]	Yes
Combating climate change: lessons from the world's indigenous peoples: When I arrived at the United Nations climat... [link]	Yes
Africa: Meteorology Services Gear Up for Climate Change: On the continent most vulnerable to climate c... [link]	Yes
China: The Key To Fixing Global Warming|With rapid expansion comes sizable environmental impact, so the world's .. [link]	Yes
China: The Key To Fixing Global Warming|With rapid expansion comes sizable environmental impact, so the world's .. [link]	Yes
Now on PBS: Going Green New York: Examining how New Yorkers are confronting climate change Check local listings [link]	Yes
Official NASA Report: Sun Causes Climate Change:  [link]	Yes
RT @TreeHugger RT @huffpostgreen well this is just crazy: Coal CEO Calls Mine Safety Rules 'As Silly As Global Warming' [link]	Yes
RT @sciam: Impacts of Climate Change Extend to Human Health [link]	Yes
Impacts of Climate Change Extend to Human Health [link]	Yes
Alpha Phi Alpha Takes on Climate Change and Energy Efficiency - [link]	Yes
Natural variability does not explain global warming, climate scientists tell popular TV meteorologist [link]	Yes
Rebecca Solnit: 350 Degrees of Inseparability: The Good News About the Very Bad News (About Climate Change) [link]	Yes
Watch video: Climate change threatens sacred Tibetan mountain, including land known as Shangri-La [link]	Yes
African Meteorology Services Gear Up for Climate Change. (america.gov) #IRI [link]	Yes
Economists Say Climate Change Is Bad For Economy [link]	Yes
Economists Say Climate Change Is Bad For Economy [link]	Yes
Report: Allergy Season to Get Worse with Climate Change (Time.com) [link]	Yes
Don•À_t Kill Bill •À_ Save the Climate Change Accountability Act! [link]	Yes
RT @Oxfam #Climate change makes farmers & pastoralists in #Ethiopia increasingly vulnerable [link]	Yes
Denis Hayes, founder of Earth Day, compares global climate change to Irish Famine (IrishCentral) News Weather Politics [link]	Yes
RT @Oxfam: #Climate change makes farmers & pastoralists in #Ethiopia increasingly vulnerable [link]	Yes
ITS #EARTHDAY!!! Be aware of what you consume, waste, & how you treat this place. we only have 1 & as we can see global warming is in effect	Yes
Earth Day: Ben Verwaayen on what we're doing to curb climate change [link]	Yes
HEALTH: U.S. and other industrial nations already feel impacts of climate change -- report [link]	Yes
HEALTH: U.S. and other industrial nations already feel impacts of climate change -- report [link]	Yes
HEALTH: U.S. and other industrial nations already feel impacts of climate change -- report [link]	Yes
HEALTH: U.S. and other industrial nations already feel impacts of climate change -- report [link]	Yes
10 first steps to greener living: It all seems so daunting: Climate change. Carbon credits. Not to mention biofuel... [link]	Yes
Climate change could raise cost of U.S. allergies (Reuters) [link]	Yes
Treating Climate Change as a Curable Disease: Bioethicists and international law experts met in Asilomar later las... [link]	Yes
well this is just crazy: Coal CEO Calls Mine Safety Rules 'As Silly As Global Warming' [link]	Yes
Military leads fight against climate change [link]	Yes
Military leads fight against climate change: The U.S. military, the government's largest fuel buyer, is leading th... [link]	Yes
10 first steps to greener living: It all seems so daunting: Climate change. Carbon credits. Not to mention biofuel... [link]	Yes
Swedish expert says CO2 is not the main cause of global warming|Swedish climate expert Dr. Fred Goldberg has said .. [link]	Yes
Fighting poverty and global warming in Africa [link]	Yes
RT @greenforyou: Treating Climate Change as a Curable Disease | Wired Science | Wired.com #green [link]	Yes
Thursday on PBS: Going Green New York: Examining how New Yorkers are confronting climate change Check local listings [link]	Yes
UN •À_ Only Global Cooperation Can Prevent Runaway Climate Change, Secretary •À_: The United Nations seeks dialogue, i... [link]	Yes
Carbon offsets: How a Vatican forest failed to reduce global warming [link]	Yes
Carbon offsets: How a Vatican forest failed to reduce global warming [link]	Yes
"rt @democracy_now ""Most Important Event in Struggle Against Climate Change"" - Nigerian Environmentalist Nnimmo Bassey [link]"	Yes
Military leads fight against climate change: Pew [link]	Yes
Report identifies 11 diseases & health issues affctd by climate change. Once u inclde mental health evrything's @ stake [link]	Yes
For Earth Day: Resources on coping with climate change: [link]	Yes
Ocean Saltiness Shows Global Warming Is Intensifying Our Water Cycle [link]	Yes
Ocean Saltiness Shows Global Warming Is Intensifying Our Water Cycle [link]	Yes
RT @egeemnz @mrdannyglover i support world people's conf on climate change in cochabamba,bolivia.watch live [link]	Yes
Barrett: better to have lots of small protocols on climate change than pushing for one comprehensive one	Yes
Topography of mountains could complicate rates of global warming [link]	Yes
RT @mrdannyglover i support the world people's conference on climate change in cochabamba, bolivia. watch live now at [link]	Yes
Many global issues require universal co-operation to address e.g. smallpox, ozone layer, climate change	Yes
RT @indiawater: Boiling Point: Containing the spill over of climate change in the Indian subcontinent - A•À_ [link]	Yes
No link now between Eyjafjallaj•__kull and climate change, but a warming world could trigger earthquakes, landslides... [link]	Yes
URUGUAY: Tools Needed for Those Most Vulnerable to Climate Change [link]	Yes
URUGUAY: Tools Needed for Those Most Vulnerable to Climate Change [link]	Yes
URUGUAY: Tools Needed for Those Most Vulnerable to Climate Change [link]	Yes
Carbon offsets: How a Vatican forest failed to reduce global warming [link]	Yes
Carbon offsets: How a Vatican forest failed to reduce global warming [link]	Yes
Ethiopia: Climate Change Increasing Poverty And Vulnerability [link]	Yes
Ethiopia: Climate Change Increasing Poverty And Vulnerability: Small-scale farmers and pastoralists i... [link]	Yes
"RT @democracy_now: ""The Most Important Event in the Struggle Against Climate Change"" - Nigerian Environmentalist Nnimmo Bassey on •À_ [link]"	Yes
"""The Most Important Event in the Struggle Against Climate Change"" - Nigerian Environmentalist Nnimmo Bassey on •À_ [link]"	Yes
RT @sejorg: RT @JaymiHeimbuch: Ocean Saltiness Shows Global Warming Is Intensifying Our Water Cycle [link]	Yes
RT @energysection: Backgrounder: China's major policies to tackle climate change since year 2000.. [link]	Yes
UW biologist links early blooms to global warming|Associated Press - April 21, 2010 6:15 AM ET STEVENS POINT, .. [link]	Yes
UW biologist links early blooms to global warming|Associated Press - April 21, 2010 6:15 AM ET STEVENS POINT, .. [link]	Yes
Global warming evidence all around us|A message to global warming deniers and doubters: Just look around our .. [link]	Yes
Global warming evidence all around us|A message to global warming deniers and doubters: Just look around our .. [link]	Yes
Global warming evidence all around us|A message to global warming deniers and doubters: Just look around our .. [link]	Yes
Will Global Warming Make Iceland's Volcanoes Angry?|Melting glaciers around the world could trigger a global .. [link]	Yes
Will Global Warming Make Iceland's Volcanoes Angry?|Melting glaciers around the world could trigger a global .. [link]	Yes
Climate Change: Could NYC Get Katrina-Like Flood in a Warmer, Wetter Future? - Sea Level Rise of 2 Feet in 70yrs [link]	Yes
Climate Change: Geologists Drill Into Antarctica & Find Troubling Signs 4 Ice Sheets' Future •À_  Melt Could Come FAST [link]	Yes
"""Either Capitalism dies or Mother Earth does"" Evo Morales Claims in the People's World Conference on Climate Change [link]"	Yes
RT @rubberstamprosk: RT @MotherJones: Yet another gift from global warming: increased allergy attacks [link]	Yes
Africa: Time Bomb Awaiting Africa: THERE is no doubt that climate change as an environmental issue ha... [link]	Yes
Buying carbon offsets may ease eco-guilt but not global warming: [link]	Yes
"RT @Qorianka: All Eyes on #Cochabamba Those alrdy suffering from global warming 'll havechancetospeakout"" [link]"	Yes
Migratory Birds' New Climate Change Strategy: Stay Home [link]	Yes
On ocean floor populations of organisms despite little oxygen. global warming cause oxygen depletion&reduce biodiversity[link]	Yes
Join us for a discussion on Earth Day 4/22: Climate Change & Food Security - Irreversible Destiny? [link]	Yes
Pat Mooney on the Dangers of Geoengineering and Manipulating the Planet to Combat Climate Change [link]	Yes
Seasonal Allergies Getting Worse From Climate Change [link]	Yes
Just because I believe in global warming, peeps thinks I should believe in god instead. Why??	Yes
Seasonal Allergies Getting Worse From Climate Change [link]	Yes
Seasonal Allergies Getting Worse From Climate Change [link]	Yes
@Zener39 I advise everyone who thinks global warming is dead to buy oceanfront property and live there.  See ya!	Yes
Global Warming, Melting Ice Caps Could Help Trigger More Volcanic Eruptions [link]	Yes
Mary Ellen Harte and John Harte: Addressing Climate Change: Winning the War on Sustainability: At its heart, clim... [link]	Yes
RT @Drudge_Report: STATE DEPT. DECLARES:   'Global warming unequivocal and primarily human-induced'... [link]	Yes
Increasingly, corporations are concluding climate change is real. Betting on Climate Change | Wired.com [link]	Yes
"Right on! Richard Branson's #EarthDay message 2 biz ""Get ur house in order.Fight global warming!#green #eco [link]"	Yes
[#Meat-Wise]  Cynthia Bateman on Meat-Wise Monday: How Animal Agriculture Makes Global Warming Worse [link]	Yes
Global Warming, Melting Ice Caps Could Help Trigger More Volcanic Eruptions [link]	Yes
STATE DEPT. DECLARES:   'Global warming unequivocal and primarily human-induced'... [link]	Yes
Global warming, melting ice caps could trigger more volcanic eruptions: [link]	Yes
@LilFerret hey! We came up with all kinds of ideas for fixing global warming! Loved my Environmentalism class. *sighs*	Yes
An Overview of the Green Car Revolution | Going Green: The increasing awareness about the threat of global warming... [link]	Yes
Southern Africa: Competing for Limpopo Water: Climate change will bring higher temperatures to Southe... [link]	Yes
"2nd eruption of Hekla in Iceland. Let's call 2010, the year the Earth struck back. ""This is for global warming and THIS is for oil spills!"""	Yes
RT @Newsweek: Climate Change: Places To See Before They Disappear•À_The Americas (Photos) [link]	Yes
RT @EpiscopalRelief: Bishop Lane, #Episcopal Dio of #Maine: Climate change most important issue of our time - #Bangor Daily Nws [link]	Yes
Cool it, global warming is bad enough without you heating things up.|In the interest of honest discussion, can we .. [link]	Yes
RT @InvasiveNotes: RT @RareWildlifeGuy: Climate change: Migration patterns have changed for 20 billion birds:   [link]	Yes
RT @Newsweek: Climate Change: Places To See Before They Disappear•À_The Americas (Photos) [link]	Yes
Volcanic ash cloud: Global warming may trigger more volcanoes|Climate change could spark more ''hazardous'' .. [link]	Yes
Volcanic ash cloud: Global warming may trigger more volcanoes|Climate change could spark more ''hazardous'' .. [link]	Yes
Just briefed on global cooling & volcanoes via @abc But I wonder ... if it gets to the stratosphere can it slow/improve global warming??	Yes
Climate Change-ing your Allergies [link]	Yes
RT @Newsweek: Climate Change: Places To See Before They Disappear•À_The Americas (Photos) [link]	Yes
RT @beckbasher: RT @IanDavidB: RT @Shoq: CLIMATE CHANGE DENIERS: Bobby Jindal mocked volcano warnings. Read the papers lately? Start thinking for yourselves	Yes
RT @TEDNews: Cara Mertes at #tedxvolcano: We're all stranded this weekend. And we're getting a sneak preview of climate change. We have to adapt.	Yes
"Larry Brilliant at #TEDxVolcano: ""We have to fight for science; the single most important thing we face is climate change"" #socmedia @enviro"	Yes
"Larry Brilliant at TEDxVolcano: ""We have to fight for science; the single most important thing we face is climate change"" #socent #green"	Yes
Damn man that ash cloud in Europe is crazy, they say due to global warming with the volcano activating,getting crazy	Yes
RT @TEDNews: Larry Brilliant at #tedxvolcano: Climate change is exacerbating all other crises of our age. But climate science is now under attack.	Yes
RT @Newsweek: Climate Change: Places To See Before They Disappear•À_The Americas (Photos) [link]	Yes
Global warming to impact wheat, rice production in India|Ludhiana, Apr 18 : Scarcity of water will have a serious .. [link]	Yes
Global Warming Causes Volcano Eruptions -- By: Jonah Goldberg: From Reuters: OSLO (Reuters) - A thaw of Iceland's... [link]	Yes
Global warming to impact wheat, rice production in India|Ludhiana, Apr 18 : Scarcity of water will have a serious .. [link]	Yes
"Climate Change & Volcanic Activity: ""Ice Cap Thaw May Awaken Icelandic Volcanoes [link]"	Yes
•À_No Rain in the Amazon: How South America•À_s Climate Change Affects Entire Planet•À_ -Interview of Nikolas Kozloff (vid) [link]	Yes
Climate Change: Places To See Before They Disappear•À_The Americas (Photos) [link]	Yes
RT @bruces *Hmmm, they rather buried the lede here: Iceland glaciers melt from global warming, then volcanoes go off: [link]	Yes
Not sure if this is consensus, but: scientist warns climate change will lead to more volcano crises due to melting ice. [link]	Yes
Wishing I was in Cochabamba at the People's World Conference on Climate Change and the Rights of Mother Earth @boliviaun	Yes
I feel that already RT @organicnewyork Climate change making seasonal allergies worse. Near-record highs this Spring [link]	Yes
RT @organicnewyork: Climate change making seasonal allergies worse.  Near-record highs this Spring.  [link]	Yes
Like Icelandic volcanic eruptions disrupting your air travel? Climate change = glacier thaw = more of it. [link]	Yes
Cochabamba Summit Offers New Approach to Combating Climate Change [link]	Yes
Climate Change is Making You Sneeze: [link]	Yes
ENVIRONMENT: Climate of change: From something as simple as reminding computer users to power down when not workin... [link]	Yes
Professor?s Perspective: Reasons to be Concerned about Climate Change|Spring in Connecticut brings renewal, .. [link]	Yes
The need to switch to renewable energy|Climate scientists have long warned us that global warming is accelerating .. [link]	Yes
The need to switch to renewable energy|Climate scientists have long warned us that global warming is accelerating .. [link]	Yes
"Climate Change culprit for ""Off-the-Charts"" Pollen Counts... [link]"	Yes
Coalition of the Tired of Waiting: Fighting Climate Change at Ground Level [link]	Yes
Allergy Season To Worsen With Climate Change: Report: A new report released on Wednesday by the National Wildlife... [link]	Yes
Coalition of the Tired of Waiting: Fighting Climate Change at Ground Level [link]	Yes
How do we solve this global warming thing? [link]	Yes
Coalition of the Tired of Waiting: Fighting Climate Change at Ground Level [link]	Yes
Coalition of the Tired of Waiting: Fighting Climate Change at Ground Level [link]	Yes
Coalition of the Tired of Waiting: Fighting Climate Change at Ground Level [link]	Yes
How do we solve this global warming thing? [link]	Yes
How do we solve this global warming thing? [link]	Yes
Report: Allergy Season to Get Worse with Climate Change (Time.com) [link]	Yes
Cute. I mention global warming and a denialist sends me a link to a Finnish newspaper article purportedly refuting it.	Yes
Is nationalizing the energy industry necessary to fight global warming?  [link]	Yes
Blog|A preliminary analysis suggests that natural gas could contribute far more to global warming than previously .. [link]	Yes
Iceland volcano not likely to slow global warming|A vast cloud from an intensifying volcanic eruption in Iceland .. [link]	Yes
Iceland volcano not likely to slow global warming|A vast cloud from an intensifying volcanic eruption in Iceland .. [link]	Yes
reading from @time Allergies Worse Than Ever? Blame Global Warming [link]	Yes
2/3rds of Tbaggers don't think climate change is a serious problem. As I said, they're ignorant.	Yes
Missing' heat may affect future climate change [link]	Yes
Climate Change - Building a Green Economy [link]	Yes
Climate change threatening Glacier National Park and Montana's economy - Examiner.com [link]	Yes
New York: Climate change could raise cost of allergies [link]	Yes
Ecotone: #Climate change from a #population perspective [link]	Yes
Climate change blamed as coastal whale migration dwindles •À_ Ventura County.. [link]	Yes
Think your allergies are bad now? Wait until climate change kicks in, Michig.. [link]	Yes
Exclusive: Climate change could raise cost of U.S. allergies| Reuters [link]	Yes
Spring storm season starting a little late this year???  Must be global warming!	Yes
Kenya: Extreme Weather Tests Pastoralist Perceptions: The effects of climate change - such as drought... [link]	Yes
Climate Change is Not Just About the Climate, it is About Our Lives : TreeHugger [link]	Yes
All 30 Major League Baseball Teams Throw Curve to Climate Change Deniers [link]	Yes
Climate Change - 100 Endangered Places and How to Save Them - Newsweek [link]	Yes
Tip of the Day: Plant One Tree on your Birthday - Plants absorb CO2 which helps reduce Global Warming.	Yes
United States Must Lead on Climate Change •À_ Kerry; Climate and Energy Bill Has Multiple Benefits #green [link]	Yes
Green:Net: How the Internet, Computing Can Fight Climate Change [link]	Yes
Green:Net: How the Internet, Computing Can Fight Climate Change: The Internet, software, computing... [link]	Yes
Leaked U.S. Document Calls For •À_Global Regime•À_ To Tackle Climate Change [link]	Yes
Climate Change - 100 Endangered Places and How to Save Them - Newsweek [link]	Yes
Reinvent Cities to Stop Climate Change [link]	Yes
Climate Change Continues To Melt Glacier National Park's Icons | National P.. [link]	Yes
Climate Change - 100 Endangered Places and How to Save Them - Newsweek [link]	Yes
Climate Change - 100 Endangered Places and How to Save Them - Newsweek [link]	Yes
Abu Dhabi faces climate change flood threat - expert - Culture & Society - Arabia.. [link]	Yes
You and Us and Me - China active, serious in tackling climate change, says vic.. [link]	Yes
Study: SE Asia will be hit hard by climate change [link]	Yes
Take Action @change: Help Protect Wildlife Habitat from Climate Change [link]	Yes
Obama: China Must Act Soon on Climate Change [link]	Yes
If capitalism doesn•À_t end climate change, climate change will end capitalism - #degrowth [link]	Yes
Take Action @change: Help Protect Wildlife Habitat from Climate Change [link]	Yes
Take Action @change: Help Protect Wildlife Habitat from Climate Change [link]	Yes
Take Action @change: Help Protect Wildlife Habitat from Climate Change [link]	Yes
Demand Congress take action on climate change. Pls sign the petition. [link]	Yes
Take Action @change: Help Protect Wildlife Habitat from Climate Change [link]	Yes
Take Action @change: Help Protect Wildlife Habitat from Climate Change [link]	Yes
Carbon Age is killing us. Climate change legislation now: [link]	Yes
Take Action @change: Help Protect Wildlife Habitat from Climate Change [link]	Yes
Take Action @change: Help Protect Wildlife Habitat from Climate Change [link]	Yes
Government Claims Global Warming May Cause Cancer [link]	Yes
Government Claims Global Warming May Cause Cancer [link]	Yes
Protect Wildlife Habitat from Climate Change: [link]	Yes
Take Action @change: Help Protect Wildlife Habitat from Climate Change [link]	Yes
