,label,cleaned_text,tweet_length
90,neutral,you down with rnp yeah you know me,34
91,neutral,hi i did not get points on my elevate account for my most recent flight how do i add the flight and points to my account,120
92,negative,i like the tv and interesting video just disappointed in cancelled flightled flight when other flights went out to jfk on saturday,130
93,negative,just landed in lax an hour after i should of been here your no late flight bag check is not business travel friendly nomorevirgin,129
94,neutral,why is flight redirected,24
95,negative,is it me or is your website down btw your new website isnt a great user experience time for another redesign,108
96,negative,i cant check in or add a bag your website isnt working ive tried both desktop and mobile,88
97,negative,let scanned in passengers leave the plane than told someone to remove their bag from st class bin uncomfortable,111
98,negative,what is your phone number i cant find who to call about a flight reservation,76
99,negative,is anyone doing anything there today website is useless and no one is answering the phone,89
100,neutral,trying to add my boy prince to my ressie sf this thursday from lax,66
101,negative,why must a traveler miss a flight to late flight check a bag i missed my morning appointments and you lost my business sfolax,125
102,neutral,check out new music,19
103,negative,hows a direct flight fllsfo have unexpected layover in vegas fuel yet peeps next to me bought for vegas flight sneaky,117
104,negative,your no late flight bag check just lost you my business i missed flight and am apt three other people on flight had same exp,124
105,positive,amazing customer service again raeann in sf shes the best customerservice virginamerica flying,94
106,negative,called your service line and was hung up on this is awesome sarcasm,67
107,negative,your site is tripping im trying to check in and im getting the plain text version i am reluctant to enter any card info,119
108,neutral,i was scheduled for sfo dal flight today changed to th due weather looks like flight still on,93
109,positive,has getaway deals through may from oneway lots of cool cities cheapflights farecompare,86
110,neutral,has getaway deals through may from oneway lots of cool cities cheapflights farecompare,86
111,positive,has getaway deals through may from oneway lots of cool cities cheapflights farecompare,86
112,neutral,has getaway deals through may from oneway lots of cool cities cheapflights farecompare,86
113,positive,have a great week,17
114,positive,come back to phl already we need you to take us out of this horrible cold pleasecomeback,88
115,negative,should i be concerned that i am about to fly on a plane that needs to be delayed due to a tech stop,99
116,positive,is the best airline i have flown oneasy to change your reservationhelpful representatives a comfortable flying experience,121
117,positive,and again another rep kicked butt naelah represents your team so beautifully thank you,86
118,positive,your beautiful frontend design is down right now but it was cool to still book my ticket bc all your backend was secure,119
119,positive,love the team running gate e at las tonight waited for a delayed flight and they kept things entertaining,105
120,negative,use another browser a brand with a reputation built on tech response doesnt have a crossbrowser compatible website,114
121,negative,and now the flight flight booking problems site is totally down folks what is the problem,89
122,negative,i like the customer service but a min delay just for connecting passengers seems too long va,92
123,positive,thanks to your outstanding nycjfk crew who moved mountains to get me home to san francisco tonight,98
124,positive,you have the absolute best team and customer service ever every time i fly with you im delighted thank you,106
125,neutral,do you provide complimentary upgrades to first class if there are available seats,81
126,negative,i need to change my flight thats scheduled in hours and min wait time on phone im calling intern help,101
127,positive,completely awesome experience last month boslas nonstop thanks for such an awesome flight and depart time vabeatsjblue,118
128,neutral,how can i watch the oscars on my jfksfo flight,46
129,neutral,is flight cancelled flightled and what do i do if it is,55
130,negative,you are failing your customers because your check in process does not link to tsa precheck,90
131,negative,us too terrible airline just gave us a hotel hotline number and said sorry,74
132,neutral,has flight number from sfo to cabo san lucas arrived yet,56
133,negative,your assistance yesterday when u cancelled flightled our flight was to give us a hotel hotline shame on you,107
134,negative,another delayed flight likingyoulessandless,43
135,negative,i need to register a service dog for a first class ticket from sfo dulles the phone queue is an hour or longer pls advise,121
136,positive,you rock for making it so i can watch oscars on my flight redcarpet oscars oscars,81
137,neutral,dropped a track on you,22
138,positive,always xoxo,11
139,negative,why cant we book seats on your flights when we buy them or even during check in creates so much anxiety frustrated,114
140,negative,youd think paying an extra bucks rt for luggage might afford you hiring an extra hand at lame,93
141,positive,best customer service rep in the world irmafromdallas takes the cake,68
142,neutral,can you find us a flt out of lax that is sooner than midnight on monday that would be great customer service,108
143,negative,please provide status for flight i cant imagine its on time as the web indicates dude to weather here andor dallas,114
144,positive,you have amazing staff super helpful as i just ran the princesshalf they have spoiled me with comfort,101
145,negative,i paid the premium to fly you across the country you cancelled flight my flight and offer no check fee or upgrade love sad face,127
146,negative,question is it not possible to book a seat for an infant under its not giving me the option but we want a seat for him,118
147,positive,always have it together youre welcome rt youre so welcome,57
148,positive,flight home to dc sunset globe in backtowinter back to work refreshed,69
149,negative,i dont understand why you need a dm to give me an answer on if you have a damaged luggage policy,96
150,negative,does that mean you dont have a policy for destroyed luggage,59
151,neutral,is there special assistance if i travel alone w kids and infant priority boarding,81
152,positive,thank you for checking in tickets are purchased and customer is happy,69
153,neutral,is your website ever coming back online,39
154,neutral,is flight from love field to sfo definitely cancelled flightled for monday february,83
155,neutral,is flight out of lga to dfw on time,35
156,neutral,my drivers license is expired by a little over a month can i fly friday morning using my expired license,104
157,negative,having problems flight booking problems on the web site keeps giving me an error and to contact by phone phone is minute wait,125
158,negative,how do i reschedule my cancelled flightled flights online the change button is greyed out,89
159,negative,i rang but there is a wait for minutes i can book the same ticket through a vendor fix your site,96
160,negative,got a flight we were told for todaychecked my email and its for tomorrow this is unacceptable,93
161,negative,our flight into lga was cancelled flighted were stuck in dallas i called to reschedule told i could get a flight for today,122
162,negative,why dont any of the pairings include red wine only white is offered redwineisbetter,83
163,negative,is the website down,19
164,negative,your site seems a little wonked right now may want to have a look tried on two browsers no css,94
165,negative,im disappointed that the agent at the designated silver status check in line closed to assist all pasengers,107
166,neutral,plans to include austin to its dallas route topnews arab emirates,65
167,negative,is it normal to receive no reply from central baggage baggageissues smh,71
168,negative,at logan airport and waiting to checkin for my am flight checkin desk not open why,82
169,neutral,to jump into the dallasaustin market,36
170,neutral,beats eps views takes on southwestair va luv investors business daily,69
171,neutral,lister to my show my on monday,30
172,neutral,to begin dallasaustin flights in april ketr,43
173,negative,congrats you just got all my business from ewr to sfolax fuck you fl sfoewr was the clincher,92
174,negative,i applied over weeks ago havent heard back and im flying this week disappointed,79
175,neutral,id love to know what your policy is for damaged luggage,55
176,positive,thank you for the follow,24
177,negative,too many apologies you r the worse airlines dont even respond to your cudtomers,79
178,negative,shame on va for making people spend money in stranded cities when other airlines are landing at jfk who will reimburse me,121
179,neutral,i dm you,8
180,neutral,can you please have flights in sjc i have no choice but to fly southwest to vegas,81
181,negative,too bad you say it takes to days via your confirmation email when i inquired after weeks you claim to weeks,107
182,negative,flight from bos las tomorrow was cancelled flightled no notification wait times are hour will you rebook on another airline,123
183,positive,rt youve met your match got status on another airline upgrade restr,67
184,positive,only way to fly elevate gold,28
185,neutral,if only you guys had flights from cmh,37
186,negative,a lot of apologies being thrown out to customers from what i can seevery sad thanks for nothing worst airline ever,114
187,negative,for all my flight stuff wrong and did nothing about it had worst flight ever,76
188,neutral,having an issue finding a missing item on a plane can you help me find which airport my plane headed to next,108
189,positive,you will match my americanairlines status cool,46
190,neutral,youve met your matchgot status on another airline upgrade,57
191,negative,trying to book a flight with you guys and your website wont let me about to lose my business,92
192,negative,you suck,8
193,positive,thanks,6
194,negative,just dmd same issue persisting,30
195,negative,because we never recd cancelled flightlation notice we were left w no options to fly out of ps driving to la for a red eye mon w kids,133
196,negative,trying to book a flight your site is down,41
197,negative,you have any flights flying into boston tomorrow i need to be home and you cancelled flightled my flight and didnt do anything,126
198,negative,you stink flight cancelled flighted from psp to jfk and no notification or ability to rebook disappointed expected better,121
199,positive,i love your guys song were dancing to it for our high school dance revue,72
200,negative,your website is down and im trying to check in,46
201,positive,done thank you for the quick response apparently faster than sitting on hold,76
202,neutral,nervous about my flight from dc to lax getting cancelled flightled tomorrow just sent you a dm to help me,105
203,positive,cool picture of another virginamerica plane off our wing what a site,68
204,positive,keep up the great work,22
205,positive,my goodness your people field are amazing under pressure from texas beatstheothers in crisis please fly me to ny,112
206,positive,thanks for a great flight from la to boston pilots did a great job landing in the snow can we go back to la now seriously,121
207,neutral,can you please get me to the new york area before monday afternoon,66
208,positive,thanks so much for the awesome support you guys rock,52
209,negative,seats in row dont recline should mention that on your website soreback,70
210,negative,flight delayed hours in la due to mechanical problems handle like pros but you could have tossed us a free drink,112
211,negative,why cancelled flight flights today no precipitation to be scared of,67
212,positive,twitter team you guys killed it for rescheduling me asap thank you,66
213,negative,you guys charged me to reschedule a flight that was then cancelled flighted and are now refusing to refund it whats the deal,124
214,negative,cant access your website from safari on iphone seems to work on mac and ipad need iphone to add passbook,104
215,neutral,on ipad and iphone clicking the checkin link in the email i received at hrs before flight,89
216,negative,your mobile site is broken shows headerelevateusernumofpointsavailable number points wont let me checkin,104
217,negative,i was really looking forward to my flight can you let me know when it will be rescheduled diehardvirgin,103
218,negative,why cancelled flight flight vx one sec its delayed on my to airport the next its cancelled flightledgonna email or call me to reschedule,136
219,negative,i did it but there was a problem in the link from the email for checkin thanks,78
220,negative,had to change to another airline to get to dc today why is able to land in dc but not you cost me ugh,101
221,negative,i was so looking forward to my first flight with you today but it was cancelled flightled along with the subsequent one,119
222,positive,when are you putting some great deals from pdx to las or from las to pdx show me your love,90
223,positive,wish i can afford to fly with you next friday going back home love everything about your airline,96
224,negative,how are you gonna have a deal from dallas to dc but no deal from dc to dallas sad,81
225,neutral,its just a bug report guys,26
226,negative,hold times at call center are a bit much,40
227,positive,like,4
228,negative,site down help,14
229,positive,you have the best flight attendant ever,39
230,positive,awesome rt watch nominated films at feet meetthefleet oscars,60
231,positive,thanks so much,14
232,negative,trying to reset my password email never arrives help,52
233,positive,the only airline based in silicon valley disruption fcmostinnovative incubator s,80
234,positive,very nicely done,16
235,positive,im looking forward to watching the oscars on my flight home tomorrow i might even get something bubbly to drink,111
236,negative,what is the reason for the delay of the departure of vx from jfk this afternoon,79
237,negative,is todays flight from palm springs ca to jfk in ny cancelled flightled,70
238,positive,hahaha you guys are amazing i love you guys,43
239,positive,sounds like fun,15
240,neutral,any updates on flight from jfk lax,34
241,neutral,spruce moose,12
242,negative,the css on your site is a right now please fix site unusable,60
243,negative,were on flight vegas to boston today checked in online but our bag count didnt register can i fix that somehow,110
244,positive,classiq luv virgin america greetingz,36
245,negative,hi im trying to do checkin but the website is not working i tried different browsers and the problem continues,110
246,positive,thanks for your great customer service today for helping me get all my travel sorted out,88
247,positive,thanks guys sweet route over the rockies airplanemodewason,58
248,positive,love the s music blasting at gate in boston while waiting for flight to sanfrancisco only if i could get an iced coffee,119
249,negative,the passenger in d flt that assaulted me shouldnt have flown i trust hes banned crew filed report to,100
250,negative,current bug on website shows select departure city when selecting destination city,82
251,negative,luggage was severely dentedmissing wheel coming off baggage claim in san luggage agent miranda i think wasnt any help,117
252,positive,thank you for the easy itinerary shift for impending weather quick painless free,80
253,neutral,if youd love to see more girls be inspired to become pilots rt our free woaw event march at abq,95
254,positive,thanks good times there and back vodkatonics the entire flightsfo,65
255,neutral,beats expectations shares take off santa cruz sentinel,54
256,neutral,any plans to start flying direct from dal to las,48
257,neutral,big lovegratitudempower w werin oscars vipswagbags avalonhollywood,66
258,positive,youre doing a great job adding little luxuriesaesthetics that improve the air travel experience thank you keep it up,116
259,negative,requested window seat and confirmed window but got stuck in middle seat not a good way to treat silver member,109
260,neutral,grand budapest hotel oscarscountdown,36
261,neutral,this is what you missed next trip to the,40
262,negative,wtf i paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience,123
263,negative,there is something wrong with you website in safari iphone,58
264,positive,thanks for gate checking my baggage on your full flight dfwlax and giving me early boarding too sweet,101
265,negative,already checked in so the page expired x,40
266,negative,boo for a not refunding a seat upgrade fee i did not want to buy in the first place,83
267,neutral,shares rise on q financial results usa today,44
268,neutral,adds pillows instead of lieflat seats in first class arms race,62
269,positive,i see what you did there,24
270,neutral,way to take advantage of mayweatherpacquiao,43
271,neutral,you know im flying virgin for the fight mayweatherpacquiao,58
272,positive,your inflight team makes the experience amazing,47
273,positive,cutest salt and pepper shaker ever just when i think you guys cant get any better you just do,93
274,negative,moved my seat with no notice better seat is cabin select not behind the row i selected disappointed,99
275,neutral,shares up on q results,22
276,positive,fav airline,11
277,positive,we have a hot female pilot sweet dca to sfo,43
278,neutral,when are you guys going to start flying to paris youre welcome,62
279,neutral,what is your policy on flying after surgery i am still waiting for answer so i can tell me doctor,97
280,negative,already contacted central baggage sent dm is charging me for the dress that was in the lost suitcase help,105
281,positive,thank you,9
282,negative,is there anything going on with the website ive been getting a lot of errors past minutes,89
283,neutral,i think i left something on the plane yesterday who do i callah,63
284,neutral,i need you to follow back in order to dm,40
285,neutral,need to start flying to,23
286,neutral,they told to check with the airline regulation first so that is why i contacted you,83
287,negative,i have just checked in flight to sfo from lax been told as atlantic flying club gold i get no benefits,102
288,negative,husband and i ordered three drinks via my screen and they never came awesome,76
289,negative,soooo are you guys going to leave the seatbelt light on all flight you can barely call this turbulence,102
290,neutral,what is your policy on flying after surgery,43
291,neutral,posts second consecutive fullyear net profit,44
292,negative,funny story your website is broken you have missing javascript and stylesheets on the checkin process i dislike this,116
293,positive,would love to do more for virgin just like i do for,51
294,neutral,results handily exceed forecasts,32
295,neutral,i applied for a position in and i was wondering if you guys received my application,83
296,neutral,achieves a second year of profitability despite revenue pressure,64
297,neutral,gives positive outlook but sees increased competition,53
298,negative,im trying to check into my am ct flight tmm on the desktop website and its not working some sort of caching bug sos,115
299,neutral,weather delays next few weeks jfk bos dca,41
300,neutral,check the website before you go to the airport,46
301,negative,do you guys know your checkin links from emails are broken,58
302,neutral,pilot says we expect a choppy landing in nyc due to some gusty winds wa temperature of about degrees wthe windchill,115
303,positive,loved it cant wait for mondays return flight mostly just to watch the inflight safety video again sorrynotsorry,111
304,negative,lost my luggage days ago on flight vx from lax to iad im calling every day no responseplease give me back my stuff,114
305,negative,the flight booking problems section of your website seems to be broken on chrome might wanna look into that,107
306,positive,hi just wanted to see if you have any new routes planned this year for newark love flying you guys and hope to do so more,121
307,positive,i mean probably inappropriate while on board but its on,55
308,positive,happy to spend the day together lets do this,44
309,neutral,is saving my sanity right now,29
310,neutral,missed my flight how does standby work,38
311,positive,they were very understanding and helped me out thx comps,56
312,neutral,brought it all the way across the country today i see,53
313,positive,thank you i absolutely will,27
314,negative,looks like a broken link for your assets,40
315,neutral,are you ready lets say it together noooo turbulence today,57
316,negative,the manage itinerary section of your website seems to be broken for me,70
317,negative,cant check in your site looks like this every time it loads,59
318,neutral,can u help this needs urgent treatment iny old battling cancer could u help with flights freyasfund,99
319,neutral,may start service to hawaii from sanfrancisco this year biztravel,65
320,negative,other carriers are less than half price for a round trip fare i am stunned,74
321,negative,wtf is happening in pdx late flight march such that one way from sfo is,71
322,neutral,add dtw and im sold,19
323,positive,how about some free drinks on the flight back for the free promo,64
324,positive,thanks,6
325,neutral,momma i made it,15
326,neutral,please contact me about portfolio left on flight vx from jfk to sfo tonite seat am need it returned call,104
327,neutral,help i was on flight from jkf tonight seat c left portfolio need it back,72
328,neutral,seattle bound wifey got me the duffle for vday shes a keeper holla,66
329,negative,my luggage is gone ive filed my paperwork promised a callemail still no resolution or response from central luggage,115
330,neutral,debbie baldwin gave a rockstar performance of the safety demo this evening on vx lassfo bestcrew sherocks,105
331,positive,thanks,6
332,positive,thanks for taking care of on her flight rockstars travel,56
333,positive,thanks for the lovely soft views travel san to sfo,50
334,negative,i requested a mileage challenge for status several weeks ago online but havent heard back how do i get help with this,117
335,negative,just trying to book tickets to nyc and facing super fun broken styling dont worry ill keep trying,97
336,neutral,many thanks for the follow ourprincess freyasfund usa bandie looking for any help,81
337,neutral,nice lofty view silverstatus,28
338,negative,applied for status match on feb got confirmation email same day still no news though you guys have dropped ball late flightly,125
339,neutral,is my new go to airline,23
340,neutral,can you help ourprincess in need of some help in usa,52
341,positive,i adore you and am so looking forward to my flight to austin in two weeks,73
342,positive,i was so glad it was mentioned i took my first virgin flight a few years back and it was a transformative experience,116
343,neutral,flight booking problems flight to uphold my status match do taxes on ticket count as earned status points statusmatch virginamerica,131
344,negative,trying to checkinbut looks like your site is down,49
345,negative,spending my birthday night with you daldca get me home,54
346,negative,sent a couple messages to the email you provided but to no avail will try again next year cheers,96
347,positive,first time flying virgin went to sanfrancisco thanks for the smooth ride easily my new fav airline,98
348,negative,seriously though will there not be direct flights from sfofll in may,68
349,negative,its fine already done with my purchase but you should try it just go most of the way through then go back,105
350,negative,not really the experience i was hoping i ws forced check in a small carry on w nothing but empty cabin space on board,117
351,negative,wjere is our luggage so slow at lax,35
352,neutral,to jump into the dallas austin market,37
353,negative,i spoke with a representative that offered no solution i am a loyal customer who flies on as well,97
354,negative,i am deeply disappointed that your birthday promo was not applied to a trip i booked mere days before i received the email,122
355,negative,what happened to direct flights from sfofll looking in may only see connecting help dontdothistome,98
356,neutral,can you help left my blazer in kooples jacket bag at rd row second seat from right gate t lax flight to sfo,107
357,neutral,partners with checkout as mobile payment method to help boost mobile conversion rates etailwest payments visa,109
358,positive,just promoting the product is all had a problem with southwest and recommend noneother than the best,100
359,positive,love you guys but pls get some direct routes las to aus,55
360,neutral,i would like help with some flights please,42
361,neutral,bruh turn down for what vxsafetydance,37
362,positive,of course i work for and im obsessed with the entire virgin family,66
363,positive,ok first time flying with you tonight,37
364,neutral,digging the swanky pink mood lighting during the flight from nyc to sfo just needs a cabaret singer think about it,114
365,neutral,done but i need the receipt asap could you please help,54
366,negative,i have d and d embossed badges and patches superior to the ones you are currently using,87
367,negative,on vx from jfk to la dirty plane not up to your standards,57
368,negative,on flight vx headed to la from jfk dirtiest va plane i have ever been on sad for a great airline,96
369,positive,got it squared away someone picked up as soon as i tweeted should have tweeted sooner,85
370,negative,your avis rental continue button doesnt work on your website to book car tried times on phone this sucks,104
371,negative,delayed to,10
372,negative,currently in minute of being on hold with cust service do i need to do anything to add a lap child to my reservation,116
373,neutral,adds pillows instead of lieflat seats in first class arms race by,65
374,positive,of course have fun celebrating thanks happy chinese new year,60
375,positive,flight booking problems last second flight for next week from sfo to san any chance you want to gift me a promo code since i love you guys,138
376,negative,comenity bank is a joke please change nothing but constant problems with this bank,82
377,neutral,i just did how can i dm do u have to also add me,48
378,positive,for my grandma ellas th she would a bday greeting from your flight crew she was a stewardess for eastern airlines,113
379,positive,just bought tix for atx dallas route thanks for adding that love yr airline yr website is best transactional site ever,118
380,neutral,anytime sugafly,15
381,positive,gave a credit for my late flight flight yesterday great service thats a wow moment unexpected gesture,101
382,neutral,i need a receipt for a flight change can you send one,53
383,negative,i submitted a status match request a while back and still havent heard im flying on monday can you look accelerate,114
384,positive,had me at their safety video loved my first cross country flight livewelltraveled sytycd,88
385,positive,that doesnt look to fat to me it looks yummy,44
386,neutral,ceo says southwest jetblue have strayed from low cost model,59
387,neutral,a brilliant brisk am in boston in cue for vx,44
388,neutral,atlantic ploughs a lone furrow in the middleeast,48
389,neutral,atlantic ploughs a lone furrow in the middleeast,48
390,neutral,atlantic ploughs a lone furrow in the middleeast,48
391,positive,omg omg nonstop dallas to austin on virgin,42
392,positive,your planes are really pretty just thought u should know that,61
393,neutral,when are you flying to hawaii,29
394,negative,im pulling my hair out trying to book a flight with u your site doesnt work on iphone or ipaddont have a computer help,118
395,positive,thank you,9
396,negative,can i get some help with a support ticket its been days incident thank you,74
397,positive,good to be home texas moodlighting,34
398,negative,i cannot even open my laptop in seat c and i paid a premium for this let me out of here,87
399,negative,i am in seat c and i cannot even open my laptop and i paid extra for this seat,78
400,neutral,if only you guys were starting those flights at the end of the month guess im still road tripping on feb,104
401,positive,thanks for that been needing a way to make those austin trips from dca and now youve come through,97
402,neutral,announced new route to austin wfares from way,45
403,neutral,really sprint i thought you guys were kewl,42
404,positive,this is too cool never been on ur planes but now i will,55
405,neutral,you should have dollar laxlas fares,35
406,positive,great well deserved,19
407,negative,fyi the infocom email address you say to contact in password reset emails doesnt exist emails bounce,100
408,negative,status match weeks have gone by and no newsflt next week hope flt will count towards requirement cust svc no help,113
409,negative,your website sucks donkey dicks just thought you should know all best,69
410,neutral,you should still develop an app then you will be my favorite airline,68
411,negative,all crap channels which is why i pay to watch uk tv,51
412,positive,got it all set thanks,21
413,neutral,no as channel this year,23
414,neutral,only thing i see on passbook is virgin mobile mexico how do i integrate,71
415,positive,giants and virgin america a match made in heaven,48
416,positive,thank goodness also see you friday nwksf boom,45
417,negative,how come you dont have an iphone app still using and making me waste paper,74
418,negative,your back of seat entertainment system does not accept credit cards that have an apostrophe in the surname apostrophefail,121
419,negative,when will vx use all lga slots instead of today adding aus makes this less likely,81
420,neutral,is helping me step up my game tindertips tinderchamp,52
421,positive,i luv ur people and product thing is y do u charge for herbal tea but not black tea im not a caffeine drinker,109
422,positive,thank you see yall soon im excited to see the expansion of destinations spread those wings,90
423,neutral,announces new nonstop connecting intro,38
424,neutral,adds austindallas love field route,34
425,negative,sad to learn you no longer fly sfo phl hope it returns,54
426,neutral,can you tweet me the cancelled flightchng fee for a flight or can i rebook under one of your affiliates if so who are afiliates,127
427,positive,has the most incredible customer service ive ever experienced so refreshing,75
428,neutral,now when will we see virginamerica come to philadelphia phl,59
429,positive,am i dreaming did you really just open up a route between dallas and austin and does this mean houston might be next,116
430,positive,omg finally,11
431,neutral,to start xweekly a flights from to dallas austin on apr avgeek,62
432,neutral,nice to see you expanding in texas but dont forget about us here in sandiego i would love to see more flights out of here,121
433,negative,kinda sucked my earphone jack didnt work on my flight they may want to look into that for future passengers,107
434,negative,very poor experience first computer problem now seat malfunction stuck missing meeting in san diego,99
435,neutral,to battle on route via,22
436,positive,thankyou the dalaus route makes my day,38
437,positive,awesome deals dalaus for only each way,38
438,neutral,i miss the nerdbird in san jose,31
439,positive,love it taking on in their backyard consumers win when biz competes,67
440,positive,is flying from love to austin now that is most excellent news,61
441,neutral,can we make every vx plane with nerdbird why should austin be the only one getting nerd love,92
442,neutral,please add more frequency to pdx portland,41
443,positive,congrats vx on the new route,28
444,negative,i tried that you offered to charge me an additional k for a new ticket or be stranded until thurs st time last time,115
445,neutral,can u help with flights to get a y old battling cancer who needs treatment in,77
446,negative,never had a bad experience before but this one took the cake now extortion for carry on items as well,101
447,negative,had to spend hours worrying that items in carryon would be brokenstolen since i couldnt carry them on plane or lock bag,119
448,negative,all of group e was told there was no more room in the bins when i got on the plane was room for at least bags in my row,119
449,negative,thanks for making my flight from lax to jfk a nightmare by forcing me to check my carry on bag at the gate,106
450,negative,i have lots of flights to book and your site it not working ive been on the phone waiting for over minutes,106
451,positive,i am all about the in flight artisanal cheese and wine pairing,62
452,neutral,does virgin america fly direct from seattle to nyc or boston,60
453,positive,thats classy,12
454,positive,im sure a lot of your and jfklhr flights go a lot faster than mph with a strong tailwind,88
455,positive,now its just tminus minutes until my elevate a silver upgrade window opens freeneversucks,89
456,neutral,save some for tomorrow am,25
457,negative,why is it taking years to fly home to dallas get your shit together,67
